CARTRIDGE,CALIBER,G1,G7,Weight,Muzzle
308 WIN: Federal 165gr Swift Scirocco Ii,0.3080,0.4700,,165,2700
308 WIN: Federal 165gr Trophy Bonded Tip,0.3080,0.4500,,165,2700
308 WIN: Federal 165gr Trophy Copper,0.3080,0.5030,,165,2700
308 WIN: Federal 168gr Berger Hybrid Hunter,0.3080,0.4890,0.2510,168,2700
308 WIN: Federal 168gr Centerstrike Otm,0.3080,0.4500,0.2210,168,2650
308 WIN: Federal 168gr Sierra Matchking Bthp,0.3080,0.4620,0.2240,168,2650
308 WIN: Federal 175gr Centerstrike Otm,0.3080,0.5050,0.2570,175,2600
308 WIN: Federal 175gr Sierra Matchking Bthp,0.3080,0.5050,0.2500,175,2600
308 WIN: Federal 175gr Terminal Ascent,0.3080,0.5200,0.2580,175,2600
308 WIN: Federal 178gr Eld-X,0.3080,0.5520,0.2780,178,2610
308 WIN: Federal 180gr Trophy Bonded Tip,0.3080,0.5000,,180,2620
308 WIN: Federal 185gr Berger Juggernaut Otm,0.3080,0.5520,0.2830,185,2600
308 WIN: Fiocchi 150gr COPPER HP,0.3080,0.4000,,150,2900
308 WIN: Fiocchi 150gr PSP,0.3080,0.3800,,150,2820
308 WIN: Fiocchi 150gr SCIROCCO,0.3080,0.4300,,150,2875
308 WIN: Fiocchi 150gr SST,0.3080,0.4150,,150,2860
308 WIN: Fiocchi 165gr PSP,0.3080,0.4350,,165,2700
308 WIN: Fiocchi 168gr HPBT MK,0.3080,0.4620,,168,2650
308 WIN: Fiocchi 175gr HPBT MK,0.3080,0.4960,,175,2595
308 WIN: Fiocchi 180gr SST,0.3080,0.4800,,180,2570
308 WIN: Hornady 125gr SST ,0.3080,0.0000,,125,2675
308 WIN: Hornady 150gr CX ,0.3080,0.0000,,150,2900
308 WIN: Hornady 150gr CX ,0.3080,0.0000,,150,2800
308 WIN: Hornady 150gr InterLock  SP,0.3080,0.0000,,150,2820
308 WIN: Hornady 150gr SST ,0.3080,0.0000,,150,2810
308 WIN: Hornady 150gr SST ,0.3080,0.0000,,150,3000
308 WIN: Hornady 150gr SST ,0.3080,0.0000,,150,2820
308 WIN: Hornady 155gr A-MAX ,0.3080,0.0000,,155,2850
308 WIN: Hornady 155gr BTHP Match,0.3080,0.0000,,155,2700
308 WIN: Hornady 155gr FTX ,0.3080,0.0000,,155,2785
308 WIN: Hornady 165gr CX ,0.3080,0.0000,,165,2610
308 WIN: Hornady 165gr CX ,0.3080,0.0000,,165,2750
308 WIN: Hornady 165gr InterLock  SP,0.3080,0.0000,,165,2700
308 WIN: Hornady 165gr SST ,0.3080,0.0000,,165,2840
308 WIN: Hornady 168gr A-MAX ,0.3080,0.0000,,168,2700
308 WIN: Hornady 168gr BTHP,0.3080,0.0000,,168,2700
308 WIN: Hornady 168gr ELD  Match,0.3080,0.0000,,168,2700
308 WIN: Hornady 168gr ELD  Match,0.3080,0.0000,,168,2840
308 WIN: Hornady 178gr BTHP,0.3080,0.0000,,178,2600
308 WIN: Hornady 178gr ELD-X ,0.3080,0.0000,,178,2600
308 WIN: Hornady 180gr SST ,0.3080,0.0000,,180,2650
308 WIN: Lapua 123gr FMJ,0.3080,0.0000,,123,2935
308 WIN: Lapua 150gr Mega,0.3080,0.0000,,150,2790
308 WIN: Lapua 155gr Scenar-L,0.3080,0.0000,,155,2820
308 WIN: Lapua 167gr Scenar,0.3080,0.0000,,167,2690
308 WIN: Lapua 170gr Lock Base,0.3080,0.0000,,170,2756
308 WIN: Lapua 170gr Lock Base,0.3080,0.0000,,170,2441
308 WIN: Lapua 170gr Naturalis,0.3080,0.0000,,170,2625
308 WIN: Lapua 175gr Scenar-L,0.3080,0.0000,,175,2602
308 WIN: Lapua 185gr FMJBT,0.3080,0.0000,,185,2490
308 WIN: Lapua 185gr Mega,0.3080,0.0000,,185,2690
308 WIN: Lapua 185gr Scenar,0.3080,0.0000,,185,2475
308 WIN: Lapua 200gr FMJBT,0.3080,0.0000,,200,1066
308 WIN: Nosler 110gr VMG FB Tipped,0.3080,0.0000,,110,3150
308 WIN: Nosler 125gr BTA BT,0.3080,0.0000,,125,3100
308 WIN: Nosler 150gr BTA BT,0.3080,0.0000,,150,2850
308 WIN: Nosler 150gr TGA AB,0.3080,0.0000,,150,2875
308 WIN: Nosler 150gr WCA SB,0.3080,0.0000,,150,2850
308 WIN: Nosler 165gr BTA BT,0.3080,0.0000,,165,2800
308 WIN: Nosler 165gr TGA AB,0.3080,0.0000,,165,2800
308 WIN: Nosler 165gr TGA PT,0.3080,0.0000,,165,2800
308 WIN: Nosler 165gr WCA SB,0.3080,0.0000,,165,2800
308 WIN: Nosler 168gr ETA ET,0.3080,0.0000,,168,2750
308 WIN: Nosler 168gr MGA HPBT,0.3080,0.0000,,168,2750
308 WIN: Nosler 168gr TGA-LR ABLR,0.3080,0.0000,,168,2750
308 WIN: Nosler 175gr MGA HPBT,0.3080,0.0000,,175,2600
308 WIN: Nosler 175gr MGA-RDF RDF,0.3080,0.0000,,175,2650
308 WIN: Remington 150gr Core-Lokt Copper,0.3080,0.2780,,150,2820
308 WIN: Remington 150gr Core-Lokt Pntd SP,0.3080,0.3140,,150,2820
308 WIN: Remington 150gr Core-Lokt Tipped,0.3080,0.4150,,150,2840
308 WIN: Remington 150gr FMJ,0.3080,0.4220,,150,2810
308 WIN: Remington 165gr Core-Lokt Tipped,0.3080,0.4470,,165,2700
308 WIN: Remington 165gr Swift Scirocco Bonded,0.3080,0.4750,,165,2680
308 WIN: Remington 168gr MatchKing OTM,0.3080,0.4750,,168,2680
308 WIN: Remington 172gr Speer Impact,0.3080,0.5220,,172,2635
308 WIN: Remington 175gr MatchKing OTM,0.3080,0.4960,,175,2610
308 WIN: Remington 180gr Core-Lokt Pntd SP,0.3080,0.3830,,180,2620
308 WIN: Remington 180gr Core-Lokt SP,0.3080,0.2480,,180,2620
308 WIN: Remington 180gr Core-Lokt Tipped,0.3080,0.4800,,180,2640
308 WIN: Remington 180gr Pntd SP Boattail,0.3080,0.3930,,180,2615
308 WIN: Remington 190gr BHP,0.3080,0.0000,,190,0
308 WIN: User Data,0.3080,0.0000,,0,0
32 AUTO 7.65MM BRWN: Remington 71gr FMJ,0.3120,0.1310,,71,905
32 AUTO: Hornady 60 gr  FTX ,0.3120,0.0000,,60 ,1000
32 AUTO: Hornady 60 gr  XTP ,0.3120,0.0000,,60 ,1000
32 AUTO: User Data,0.3120,0.0000,,0,0
32 H&R MAG: Remington 85gr JHP,0.3120,0.1000,,85,1120
32 H&R MAG: Remington 95gr LSWC,0.3120,0.1400,,95,1020
32 H&R MAG: User Data,0.3120,0.0000,,0,0
32 S&W LONG: Remington 98gr LRN,0.3120,0.1190,,98,705
32 S&W: Remington 88gr LRN,0.3120,0.1140,,88,680
32 WIN SPECIAL: User Data,0.3210,0.0000,,0,0
32 WIN SPL: Hornady 165gr FTX ,0.3210,0.0000,,165,2410
32 WIN SPL: Remington 170gr Core-Lokt SP,0.3210,0.2390,,170,2250
32 WIN SPL: Remington 170gr Core-Lokt Tipped,0.3210,0.2520,,170,2250
32-20 WIN: Remington 100gr Lead,0.3120,0.1660,,100,1210
325 WIN SHORT MAG: User Data,0.3230,0.0000,,0,0
325 WSM: Nosler 180gr ETA ET,0.3230,0.0000,,180,3050
325 WSM: Nosler 200gr TGA AB,0.3230,0.0000,,200,2900
327 FED MAG: Federal 127gr Bonded HP,0.3120,0.0000,,127,1650
327 FED MAG: Federal 127gr Bonded HP,0.3120,0.0000,,127,1650
327 FED MAG: Hornady 80 gr  FTX ,0.3120,0.0000,,80 ,1475
327 FED MAG: Remington 100gr JSP,0.3120,0.1600,,100,1500
327 FED MAG: Remington 110gr SJHP,0.3120,0.0980,,110,1295
327 FED MAG: Remington 125gr BJHP,0.3120,0.0730,,125,1220
327 FED MAG: Remington 125gr JSP,0.3120,0.0000,,125,1450
327 FED MAG: Remington 125gr SJHP,0.3120,0.1250,,125,1450
327 FED MAG: Remington 158gr LSWC,0.3120,0.1450,,158,1235
327 FED MAG: Remington 158gr SJHP,0.3120,0.1450,,158,1235
327 FED MAG: Remington 158gr SP,0.3120,0.1450,,158,1235
327 FED MAG: Remington 180gr SJHP,0.3120,0.1630,,180,1145
327 FED MAG: Remington 180gr SJHP,0.3120,0.2100,,0,0
327 FED MAG: User Data,0.3120,0.0000,,0,0
33 NOSLER: Nosler 225gr ETA ET,0.3380,0.0000,,225,2850
33 NOSLER: Nosler 225gr TGA AB,0.3380,0.0000,,225,3025
33 NOSLER: Nosler 250gr TGA PT,0.3380,0.0000,,250,2750
33 NOSLER: Nosler 265gr TGA-LR ABLR,0.3380,0.0000,,265,2775
33 NOSLER: User Data,0.3380,0.0000,,0,0
338 ARC: Hornady 170gr MonoFlex,0.3380,0.0000,,170,2075
338 ARC: Hornady 175gr HP Match,0.3380,0.0000,,175,2075
338 ARC: Hornady 215gr FTX,0.3380,0.0000,,215,1900
338 ARC: Hornady 285gr FMJ,0.3380,0.0000,,285,1050
338 ARC: Hornady 307gr SUB-X,0.3380,0.0000,,307,1050
338 FED: Federal 200gr Trophy Bonded Tip,0.3380,0.4400,,200,2630
338 FED: Federal 200gr Trophy Copper,0.3380,0.4250,,200,2630
338 FED: User Data,0.3380,0.0000,,0,0
338 LAPUA MAG: Federal 250gr Sierra Matchking Bthp,0.3380,0.5870,0.3180,250,2950
338 LAPUA MAG: Federal 250gr Trophy Copper,0.3380,0.6250,,250,2850
338 LAPUA MAG: Federal 300gr Sierra Matchking Bthp,0.3380,0.7680,0.3870,300,2580
338 LAPUA MAG: Hornady 240gr CX ,0.3380,0.0000,,240,2900
338 LAPUA MAG: Hornady 250gr BTHP,0.3380,0.0000,,250,2860
338 LAPUA MAG: Hornady 270gr ELD-X ,0.3380,0.0000,,270,2800
338 LAPUA MAG: Hornady 285gr ELD  Match,0.3380,0.0000,,285,2745
338 LAPUA MAG: Lapua 231gr Naturalis,0.3380,0.0000,,231,3018
338 LAPUA MAG: Lapua 231gr Naturalis,0.3380,0.0000,,231,3018
338 LAPUA MAG: Lapua 248gr Armor Piercing,0.3380,0.0000,,248,2970
338 LAPUA MAG: Lapua 250gr Lock Base,0.3380,0.0000,,250,2953
338 LAPUA MAG: Lapua 250gr Lock Base,0.3380,0.0000,,250,2953
338 LAPUA MAG: Lapua 250gr Scenar,0.3380,0.0000,,250,2970
338 LAPUA MAG: Lapua 250gr Scenar,0.3380,0.0000,,250,2970
338 LAPUA MAG: Lapua 253gr Incendiary,0.3380,0.0000,,253,2936
338 LAPUA MAG: Lapua 300gr Armor Piercing,0.3380,0.0000,,300,2723
338 LAPUA MAG: Lapua 300gr Incendiary,0.3380,0.0000,,300,4929
338 LAPUA MAG: Lapua 300gr Scenar,0.3380,0.0000,,300,2690
338 LAPUA MAG: Lapua 300gr Scenar,0.3380,0.0000,,300,2723
338 LAPUA MAG: Nosler 250gr MGA CC,0.3380,0.0000,,250,2900
338 LAPUA MAG: Nosler 250gr NCA AB,0.3380,0.0000,,250,2850
338 LAPUA MAG: Nosler 300gr MGA HPBT,0.3380,0.0000,,300,2650
338 LAPUA MAG: Nosler 300gr NCA ABLR,0.3380,0.0000,,300,2650
338 LAPUA MAG: Nosler 300gr TGA AB,0.3380,0.0000,,300,2650
338 LAPUA MAG: User Data,0.3380,0.0000,,0,0
338 MARLIN EXP: Hornady 200gr FTX ,0.3380,0.0000,,200,2565
338 MARLIN EXP: Remington 250gr SP,0.3380,0.2910,,250,2215
338 RCM: Hornady 225gr SST ,0.3380,0.0000,,225,2750
338 REM ULTRA MAG: Remington 250gr Core-Lokt Pntd SP,0.3380,0.4310,,250,2860
338 REM ULTRA MAG: User Data,0.3380,0.0000,,0,0
338 RUM: Nosler 225gr TGA AB,0.3380,0.0000,,225,2975
338 WIN MAG: Hornady 200gr SST ,0.3380,0.0000,,200,3030
338 WIN MAG: Hornady 225gr CX ,0.3380,0.0000,,225,2800
338 WIN MAG: Hornady 225gr SST ,0.3380,0.0000,,225,2840
338 WIN MAG: Hornady 230gr ELD-X ,0.3380,0.0000,,230,2810
338 WIN MAG: Nosler 210gr TGA PT,0.3380,0.0000,,210,2850
338 WIN MAG: Nosler 225gr ETA ET,0.3380,0.0000,,225,2750
338 WIN MAG: Nosler 225gr TGA AB,0.3380,0.0000,,225,2750
338 WIN MAG: Nosler 250gr TGA AB,0.3380,0.0000,,250,2650
338 WIN MAG: Nosler 250gr TGA PT,0.3380,0.0000,,250,2600
338 WIN MAG: Remington 225gr Core-Lokt Pntd SP,0.3380,0.4350,,225,2780
338 WIN MAG: Remington 250gr Core-Lokt Pntd SP,0.3380,0.4310,,250,2660
338 WIN MAG: User Data,0.3380,0.0000,,0,0
348 WIN: Hornady 200gr FTX ,0.3480,0.0000,,200,2560
35 REM: Federal 220gr Bonded HP,0.3580,0.0000,,220,1990
35 REM: Hornady 200gr FTX ,0.3580,0.0000,,200,2225
35 REM: Remington 150gr Core-Lokt Pntd SP,0.3580,0.1840,,150,2300
35 REM: Remington 200gr Core-Lokt SP,0.3580,0.1920,,200,2080
35 REM: Remington 200gr Core-Lokt Tipped,0.3580,0.2810,,200,2100
35 REM: User Data,0.3580,0.0000,,0,0
35 WHELEN: Hornady 200gr InterLock  SP,0.3580,0.0000,,200,2910
35 WHELEN: Nosler 225gr NCA PT,0.3580,0.0000,,225,2650
35 WHELEN: Nosler 225gr TGA AB,0.3580,0.0000,,225,2700
35 WHELEN: Nosler 250gr NCA PT,0.3580,0.0000,,250,2550
35 WHELEN: Remington 200gr Core-Lokt Pntd SP,0.3580,0.2940,,200,2675
35 WHELEN: Remington 250gr Pntd SP,0.3580,0.4090,,250,2400
35 WHELEN: User Data,0.3580,0.0000,,0,0
350 LEGEND: Hornady 165gr FTX ,0.3550,0.0000,,165,2200
350 LEGEND: Hornady 170gr InterLock  SP,0.3550,0.0000,,170,2200
350 LEGEND: Hornady 250gr SUB-Xâ¢,0.3550,0.0000,,250,1050
350 LEGEND: Nosler 180gr WCA SW,0.3550,0.0000,,180,2100
350 LEGEND: Remington 180gr Core-Lokt SP,0.3550,0.2450,,180,2100
350 LEGEND: User Data,0.3570,0.0000,,0,0
350 REM MAG: Nosler 225gr NCA PT,0.3580,0.0000,,225,2550
350 REM MAG: User Data,0.3580,0.0000,,0,0
357 MAG: Federal 170gr Bonded SP,0.3357,0.0000,,170,1610
357 MAG: Federal 170gr Bonded SP,0.3357,0.0000,,170,1610
357 MAG: Hornady 125gr FTX ,0.3357,0.0000,,125,1500
357 MAG: Hornady 125gr XTP ,0.3357,0.0000,,125,1500
357 MAG: Hornady 130gr MonoFlex ,0.3357,0.0000,,130,1250
357 MAG: Hornady 135gr DGH,0.3357,0.0000,,135,1510
357 MAG: Hornady 135gr FlexLock ,0.3357,0.0000,,135,1275
357 MAG: Hornady 140gr FTX ,0.3357,0.0000,,140,1440
357 MAG: Hornady 158gr XTP ,0.3357,0.0000,,158,1250
357 S&W MAG: User Data,0.3570,0.0000,,0,0
357 SIG: Hornady 135gr FlexLock ,0.3550,0.0000,,135,1225
357 SIG: Hornady 147gr XTP ,0.3550,0.0000,,147,1225
357 SIG: Remington 125gr BBJHP,0.3550,0.1180,,125,1350
357 SIG: Remington 125gr FMJ,0.3550,0.1100,,125,1350
357 SIG: Remington 125gr JHP,0.3550,0.1180,,125,1350
357 SIG: User Data,0.3550,0.0000,,0,0
358 WIN: Hornady 200gr InterLock  SP,0.3580,0.0000,,200,2475
360 BUCKHAMMER: Federal 220gr Bonded SP,0.3580,0.0000,,220,2000
360 BUCKHAMMER: Remington 160gr Core-Lokt Copper,0.3580,0.1900,,160,2275
360 BUCKHAMMER: Remington 180gr Core-Lokt SP,0.3580,0.1630,,180,2400
360 BUCKHAMMER: Remington 180gr Core-Lokt Tipped,0.3580,0.2120,,180,2400
360 BUCKHAMMER: Remington 200gr Core-Lokt SP,0.3580,0.1840,,200,2180
360 BUCKHAMMER: User Data,0.3580,0.0000,,0,0
375 H&H MAG: Federal 300gr Swift A-Frame,0.3750,0.3250,,300,2450
375 H&H MAG: Federal 300gr Trophy Bonded Bear Claw,0.3750,0.3420,,300,2400
375 H&H MAG: Federal 300gr Trophy Bonded Sldghmmr Solid,0.3750,0.2530,,300,2440
375 H&H MAG: Federal 300gr Woodleigh Hydro,0.3750,0.2600,,300,2500
375 H&H MAG: Hornady 250gr CX ,0.3750,0.0000,,250,2700
375 H&H MAG: Hornady 270gr InterLock  SP-R,0.3750,0.0000,,270,2800
375 H&H MAG: Hornady 300gr DGS ,0.3750,0.0000,,300,2530
375 H&H MAG: Hornady 300gr DGX  Bonded,0.3750,0.0000,,300,2530
375 H&H MAG: Nosler 260gr ETA ET,0.3750,0.0000,,260,2700
375 H&H MAG: Nosler 260gr NCA AB,0.3750,0.0000,,260,2756
375 H&H MAG: Nosler 260gr TGA PT,0.3750,0.0000,,260,2750
375 H&H MAG: Nosler 300gr TGA AB,0.3750,0.0000,,300,2400
375 H&H MAG: Nosler 300gr TGA PT,0.3750,0.0000,,300,2450
375 H&H MAG: Nosler 300gr TGA SD,0.3750,0.0000,,300,2550
375 H&H MAG: Remington 270gr SP,0.3750,0.2670,,270,2690
375 H&H MAG: User Data,0.3750,0.0000,,0,0
375 REM ULTRA MAG: Remington 270gr SP,0.3750,0.2670,,270,2900
375 RUGER: Hornady 250gr CX ,0.3750,0.0000,,250,2800
375 RUGER: Hornady 270gr InterLock  SP-R,0.3750,0.0000,,270,2840
375 RUGER: Hornady 300gr DGS ,0.3750,0.0000,,300,2660
375 RUGER: Hornady 300gr DGX  Bonded,0.3750,0.0000,,300,2660
376 STEYR: Hornady 225gr InterLock  SP-R,0.3750,0.0000,,225,2600
376 STEYR: Hornady 270gr InterLock  SP-R,0.3750,0.0000,,270,2600
38 S&W SPECIAL +P: User Data,0.3570,0.0000,,0,0
38 S&W SPECIAL: User Data,0.3570,0.0000,,0,0
38 S&W: Remington 146gr LRN,0.3570,0.1260,,146,685
38 SHORT COLT: Remington 125gr LRN,0.3750,0.1010,,125,730
38 SPL +P: Hornady 110gr FTX ,0.3570,0.0000,,110,1090
38 SPL: Hornady 110gr FTX ,0.3570,0.0000,,110,1010
38 SPL: Hornady 125gr XTP ,0.3570,0.0000,,125,900
38 SPL: Hornady 158gr XTP ,0.3570,0.0000,,158,800
38 SPL: Hornady 90 gr TX ,0.3570,0.0000,,90 ,1200
38 SPL: Remington 110gr SJHP,0.3570,0.1260,,110,950
38 SPL: Remington 110gr SJHP +P,0.3570,0.1280,,110,995
38 SPL: Remington 125gr BJHP +P,0.3570,0.1770,,125,975
38 SPL: Remington 125gr JHP +P,0.3570,0.1620,,125,945
38 SPL: Remington 125gr SJHP +P,0.3570,0.1620,,125,945
38 SPL: Remington 130gr FMJ,0.3570,0.2130,,130,800
38 SPL: Remington 148gr TMWC,0.3570,0.0560,,148,710
38 SPL: Remington 158gr LHP +P,0.3570,0.1870,,158,890
38 SPL: Remington 158gr LRN,0.3570,0.1480,,158,755
38 SPL: Remington 158gr LRN,0.3570,0.1480,,158,755
38 SPL: Remington 158gr LSWC,0.3570,0.1480,,158,755
38 SUPER +P: User Data,0.3560,0.0000,,0,0
38 SUPER AUTO +P: Remington 130gr FMJ +P,0.3560,0.1580,,130,1215
380 AUTO: Hornady 90 gr  FTX ,0.3550,0.0000,,90 ,1000
380 AUTO: Hornady 90 gr  XTP ,0.3550,0.0000,,90 ,1000
380 AUTO: Remington 102gr BJHP,0.3550,0.1950,,102,940
380 AUTO: Remington 88gr JHP,0.3550,0.1300,,88,990
380 AUTO: Remington 95gr FMJ,0.3550,0.0770,,95,955
380 AUTO: Remington 95gr FNEB,0.3550,0.0770,,95,955
380 AUTO: User Data,0.3550,0.0000,,0,0
4.6X30MM: Hornady 38 gr V-MAX ,0.1830,0.0000,,38 ,2100
40 S&W: Hornady 135gr MonoFlex ,0.4000,0.0000,,135,1130
40 S&W: Hornady 155gr XTP ,0.4000,0.0000,,155,1180
40 S&W: Hornady 165gr FTX ,0.4000,0.0000,,165,1045
40 S&W: Hornady 175gr FlexLock ,0.4000,0.0000,,175,1010
40 S&W: Hornady 180gr XTP ,0.4000,0.0000,,180,950
40 S&W: Hornady 180gr XTP ,0.4000,0.0000,,180,950
40 S&W: Remington 155gr JHP,0.4000,0.1630,,155,1205
40 S&W: Remington 165gr BBJHP,0.4000,0.1350,,165,1150
40 S&W: Remington 165gr BJHP,0.4000,0.1350,,165,1150
40 S&W: Remington 165gr FMJ,0.4000,0.0680,,165,1150
40 S&W: Remington 180gr BBJHP,0.4000,0.1770,,180,1015
40 S&W: Remington 180gr BJHP,0.4000,0.1770,,180,1015
40 S&W: Remington 180gr FMJ,0.4000,0.1780,,180,990
40 S&W: Remington 180gr FNEB,0.4000,0.1780,,180,990
40 S&W: Remington 180gr JHP,0.4000,0.1770,,180,1015
40 S&W: Remington 180gr JHP,0.4000,0.1770,,180,1015
40 S&W: User Data,0.4000,0.0000,,0,0
400 LEGEND: Hornady 210gr InterLock ,0.4005,0.0000,,210,2200
400 LEGEND: Nosler 215gr WCA SW,0.4005,0.0000,,215,2250
400 LEGEND: Remington 210gr Core-Lokt SP,0.4005,0.2070,,210,2250
400 LEGEND: User Data,0.4005,0.0000,,0,0
404 JEFFERY: Hornady 400gr DGS ,0.4220,0.0000,,400,2300
404 JEFFERY: Hornady 400gr DGX  Bonded,0.4200,0.0000,,400,2300
405 WIN: Hornady 300gr InterLock  SP,0.4115,0.0000,,300,2200
41 REM MAG: Hornady 190gr FTX ,0.4160,0.0000,,190,1620
41 REM MAG: Hornady 210gr XTP ,0.4160,0.0000,,210,1545
41 REM MAG: Remington 210gr SJHP,0.4160,0.1800,,210,1240
41 REM MAG: User Data,0.4100,0.0000,,0,0
416 REM MAG: Federal 400gr Swift A-Frame,0.4160,0.3670,,400,2400
416 REM MAG: Federal 400gr Trophy Bonded Bear Claw,0.4160,0.3730,,400,2400
416 REM MAG: Federal 400gr Trophy Bonded Sldghmmr Solid,0.4160,0.2730,,400,2400
416 REM MAG: Federal 400gr Woodleigh Hydro,0.4160,0.2600,,400,2400
416 REM MAG: Hornady 400gr DGS ,0.4160,0.0000,,400,2400
416 REM MAG: Hornady 400gr DGX  Bonded,0.4160,0.0000,,400,2400
416 REM MAG: User Data,0.4160,0.0000,,0,0
416 RIGBY: Federal 400gr Swift A-Frame,0.4160,0.3670,,400,2350
416 RIGBY: Federal 400gr Trophy Bonded Bear Claw,0.4160,0.3740,,400,2300
416 RIGBY: Federal 400gr Trophy Bonded Sldghmmr Solid,0.4160,0.2730,,400,2370
416 RIGBY: Federal 400gr Woodleigh Hydro,0.4160,0.2600,,400,2400
416 RIGBY: Hornady 400gr DGS ,0.4160,0.0000,,400,2415
416 RIGBY: Hornady 400gr DGX  Bonded,0.4160,0.0000,,400,2415
416 RIGBY: User Data,0.4160,0.0000,,0,0
416 RUGER: Hornady 400gr DGS ,0.4160,0.0000,,400,2400
416 RUGER: Hornady 400gr DGX  Bonded,0.4160,0.0000,,400,2400
44 REM MAG: Federal 270gr Bonded HP,0.4290,0.0000,,270,1715
44 REM MAG: Federal 270gr Bonded SP,0.4290,0.0000,,270,1715
44 REM MAG: Hornady 200gr MonoFlex ,0.4290,0.0000,,200,1475
44 REM MAG: Hornady 200gr XTP ,0.4290,0.0000,,200,1500
44 REM MAG: Hornady 225gr FTX ,0.4290,0.0000,,225,1410
44 REM MAG: Hornady 240gr DGH,0.4290,0.0000,,240,1620
44 REM MAG: Hornady 240gr XTP ,0.4290,0.0000,,240,1350
44 REM MAG: Hornady 300gr XTP ,0.4290,0.0000,,300,1150
44 REM MAG: Remington 180gr JSP,0.4290,0.1230,,180,1610
44 REM MAG: Remington 240gr JSP,0.4290,0.1720,,240,1180
44 REM MAG: Remington 240gr SJHP,0.4290,0.1700,,240,1220
44 REM MAG: Remington 240gr SJHP,0.4290,0.1720,,240,1180
44 REM MAG: User Data,0.4290,0.0000,,0,0
44 S&W SPECIAL: User Data,0.4290,0.0000,,0,0
44 S&W SPL: Remington 246gr LRN,0.4290,0.1580,,246,755
44 SPL: Hornady 165gr FTX ,0.4290,0.0000,,165,900
44-40 WIN: Hornady 205gr Cowboy,0.4290,0.0000,,205,725
444 MARLIN: Federal 270gr Bonded HP,0.4290,0.0000,,270,2250
444 MARLIN: Hornady 265gr FTX ,0.4290,0.0000,,265,2325
444 MARLIN: Hornady 265gr InterLock  FP,0.4290,0.0000,,265,2400
444 MARLIN: Remington 240gr Core-Lokt SP,0.4290,0.1460,,240,2350
444 MARLIN: Remington 280gr Core-Lokt Tipped,0.4290,0.1770,,280,2100
444 MARLIN: User Data,0.4290,0.0000,,0,0
45 AUTO +P: Hornady 160gr MonoFlex ,0.4520,0.0000,,160,1110
45 AUTO +P: Hornady 220gr FlexLock ,0.4520,0.0000,,220,975
45 AUTO +P: Hornady 230gr XTP ,0.4520,0.0000,,230,950
45 AUTO +P: User Data,0.4520,0.0000,,0,0
45 AUTO: Hornady 185gr FTX ,0.4520,0.0000,,185,900
45 AUTO: Hornady 185gr XTP ,0.4520,0.0000,,185,970
45 AUTO: Hornady 200gr XTP ,0.4520,0.0000,,200,900
45 AUTO: Hornady 230gr XTP ,0.4520,0.0000,,230,925
45 AUTO: Remington 185gr BBJHP,0.4520,0.1490,,185,1015
45 AUTO: Remington 185gr BJHP,0.4520,0.1490,,185,1015
45 AUTO: Remington 185gr BJHP +P,0.4520,0.1500,,185,1140
45 AUTO: Remington 185gr FMJ,0.4520,0.1490,,185,1015
45 AUTO: Remington 185gr JHP,0.4520,0.1490,,185,1000
45 AUTO: Remington 230gr BBJHP,0.4520,0.1480,,230,875
45 AUTO: Remington 230gr BJHP,0.4520,0.1480,,230,875
45 AUTO: Remington 230gr FMJ,0.4520,0.1610,,230,835
45 AUTO: Remington 230gr FNEB,0.4520,0.1590,,230,830
45 AUTO: Remington 230gr FNEB,0.4520,0.1610,,230,835
45 AUTO: Remington 230gr JHP,0.4520,0.1610,,230,835
45 AUTO: Remington 230gr JHP,0.4520,0.1610,,230,835
45 AUTO: User Data,0.4520,0.0000,,0,0
45 CAL: Hornady 200gr LD SABOT,0.4520,0.0000,,200,2325
45 COLT: Federal 250gr Bonded HP,0.4520,0.0000,,250,1025
45 COLT: Federal 250gr Bonded HP,0.4520,0.0000,,250,1025
45 COLT: Hornady 185gr FTX ,0.4520,0.0000,,185,920
45 COLT: Hornady 225gr FTX ,0.4520,0.0000,,225,960
45 COLT: Hornady 255gr Cowboy,0.4520,0.0000,,255,725
45 COLT: Remington 225gr LSWC,0.4520,0.1010,,225,830
45 COLT: Remington 230gr JHP,0.4520,0.1490,,230,850
45 COLT: Remington 250gr LRN,0.4520,0.1420,,250,750
45 COLT: User Data,0.4520,0.0000,,0,0
45 GAP: Remington 230gr FMJ,0.4510,0.1620,,230,880
45-70 GOVT: Federal 300gr Bonded HP,0.4580,0.0000,,300,1850
45-70 GOVT: Federal 300gr Trophy Bonded Bear Claw,0.4580,0.2150,,300,1850
45-70 GOVT: Fiocchi 300gr HPFN,0.4580,0.1850,,300,1900
45-70 GOVT: Hornady 250gr MonoFlex ,0.4580,0.0000,,250,2025
45-70 GOVT: Hornady 325gr FTX ,0.4580,0.0000,,325,2000
45-70 GOVT: Hornady 410gr SUB-X,0.4580,0.0000,,410,1075
45-70 GOVT: Nosler 300gr WCA SW,0.4580,0.0000,,300,1950
45-70 GOVT: Remington 300gr Core-Lokt Tipped,0.4580,0.1970,,300,2100
45-70 GOVT: Remington 300gr Semi-Jacketed HP,0.4580,0.2130,,300,1900
45-70 GOVT: Remington 405gr Core-Lokt SP,0.4580,0.2810,,405,1330
45-70 GOVT: Remington 405gr Core-Lokt SP,0.4580,0.2810,,405,1600
