CARTRIDGE,CALIBER,G1,G7,Weight,Muzzle
223 REM: Hornady 55 gr SP,0.2240,0.0000,,55 ,3240
223 REM: Hornady 55 gr V-MAX ,0.2240,0.0000,,55 ,3240
223 REM: Hornady 62 gr FMJ,0.2240,0.0000,,62 ,3100
223 REM: Hornady 68 gr  BTHP Match,0.2240,0.0000,,68 ,2960
223 REM: Hornady 73 gr ELD  Match,0.2240,0.0000,,73 ,2790
223 REM: Hornady 73 gr FTX ,0.2240,0.0000,,73 ,2790
223 REM: Hornady 75 gr BTHP,0.2240,0.0000,,75 ,2790
223 REM: Hornady 75 gr BTHP,0.2240,0.0000,,75 ,2930
223 REM: Hornady 75 gr BTHP Match,0.2240,0.0000,,75 ,2790
223 REM: Lapua 50gr Naturalis,0.2240,0.0000,,50,3330
223 REM: Lapua 55gr FMJ,0.2240,0.0000,,55,3133
223 REM: Lapua 69gr Scenar-L,0.2240,0.0000,,69,2723
223 REM: Nosler 35gr BTV BTLF,0.2240,0.0000,,35,3750
223 REM: Nosler 53gr VMG FB Tipped,0.2240,0.0000,,53,3350
223 REM: Nosler 55gr BTV BT,0.2240,0.0000,,55,3100
223 REM: Nosler 55gr ETA ET,0.2240,0.0000,,55,3100
223 REM: Nosler 55gr VMG FB Tipped,0.2240,0.0000,,55,3100
223 REM: Nosler 62gr VMG FBHP,0.2240,0.0000,,62,2950
223 REM: Nosler 70gr MG-RDF RDF,0.2240,0.0000,,70,2850
223 REM: Nosler 70gr TGA AB,0.2240,0.0000,,70,2750
223 REM: Nosler 77gr MGA HPBT,0.2240,0.0000,,77,2600
223 REM: Remington 45gr Jacketed HP,0.2240,0.1730,,45,3550
223 REM: Remington 50gr AccuTip-V,0.2240,0.2420,,50,3410
223 REM: Remington 50gr Jacketed HP,0.2240,0.1920,,50,3425
223 REM: Remington 52gr HP Match,0.2240,0.2530,,52,3200
223 REM: Remington 55gr AccuTip-V,0.2240,0.2550,,55,3240
223 REM: Remington 55gr FMJ,0.2240,0.2020,,55,3240
223 REM: Remington 55gr Pntd SP,0.2240,0.1970,,55,3240
223 REM: Remington 62gr Core-Lokt Ultra Bonded PSP,0.2240,0.2340,,62,3100
223 REM: Remington 62gr HP Match,0.2240,0.2050,,62,3025
223 REM: Remington 69gr MatchKing OTM,0.2240,0.3360,,69,3000
223 REM: Remington 77gr MatchKing OTM,0.2240,0.3620,,77,2790
223 REM: User Data,0.2240,0.0000,,0,0
223 REM: Winchester 45gr Jacketed H. P.,0.2240,0.1850,,45,3600
223 REM: Winchester 55gr Ballistic Silvertip,0.2240,0.2670,,55,3240
223 REM: Winchester 55gr Extreme Point,0.2240,0.2460,,55,3240
223 REM: Winchester 55gr FMJ,0.2240,0.2690,,55,3240
223 REM: Winchester 55gr Pntd SP,0.2240,0.1970,,55,3240
223 REM: Winchester 62gr FMJ,0.2240,0.2830,,62,3100
223 REM: Winchester 62gr Open Tip,0.2240,0.2160,,62,3065
223 REM: Winchester 64gr Extreme Point,0.2240,0.2820,,64,3020
223 REM: Winchester 64gr Power-Point,0.2240,0.2570,,64,3020
223 REM: Winchester 64gr Silvertip Defense Tip,0.2240,0.2820,,64,2700
223 REM: Winchester 69gr Match BTHP,0.2240,0.2970,,69,3000
223 WSSM: Hornady 55 gr V-MAX ,0.2240,0.0000,,55 ,3850
223 WSSM: Winchester 55gr Pntd SP,0.2240,0.1970,,55,3850
223 WSSM: Winchester 64gr Power-Point,0.2240,0.2570,,64,3600
224 VALKYRIE: Federal 78gr Barnes Triple-Shock,0.2245,0.3830,,78,2850
224 VALKYRIE: Federal 80.5gr Berger Bt Target,0.2245,0.4410,0.2260,80.5,2925
224 VALKYRIE: Federal 90gr Sierra Matchking Bthp,0.2245,0.5630,0.2740,90,2700
224 VALKYRIE: Hornady 60 gr V-MAX ,0.2245,0.0000,,60 ,3300
224 VALKYRIE: Hornady 62 gr ELD-VT ,0.2245,0.0000,,62 ,3300
224 VALKYRIE: Hornady 75 gr BTHP,0.2245,0.0000,,75 ,3000
224 VALKYRIE: Hornady 88 gr ELD  Match,0.2245,0.0000,,88 ,2675
224 VALKYRIE: Remington 60gr AccuTip-V,0.2245,0.2650,,60,3300
224 VALKYRIE: Remington 75gr FMJ,0.2245,0.4000,,75,3000
224 VALKYRIE: Remington 90gr MatchKing OTM,0.2245,0.2740,,90,2700
224 VALKYRIE: User Data,0.2245,0.0000,,0,0
225 WIN: Winchester 55gr Pntd SP,0.2240,0.2080,,55,3570
243 WIN: Federal 85gr Barnes Triple-Shock,0.2430,0.3330,,85,3200
243 WIN: Federal 85gr Trophy Copper,0.2430,0.3910,,85,3200
243 WIN: Federal 90gr Eld-X,0.2430,0.4090,,90,3150
243 WIN: Federal 95gr Berger Hybrid Hunter,0.2430,0.4340,0.2230,95,3050
243 WIN: Fiocchi 100gr PSP,0.2430,0.4050,,100,3050
243 WIN: Fiocchi 80gr COPPER HP,0.2430,0.3400,,80,3415
243 WIN: Fiocchi 90gr SCIROCCO,0.2430,0.4190,,90,3100
243 WIN: Fiocchi 95gr SST,0.2430,0.3550,,95,2950
243 WIN: Hornady 100gr  InterLock  BTS,0.2430,0.0000,,100,2960
243 WIN: Hornady 58 gr V-MAX ,0.2430,0.0000,,58 ,3925
243 WIN: Hornady 75 gr V-MAX ,0.2430,0.0000,,75 ,3580
243 WIN: Hornady 80 gr CX ,0.2430,0.0000,,80 ,3200
243 WIN: Hornady 87 gr SST ,0.2430,0.0000,,87 ,2800
243 WIN: Hornady 87 gr V-MAX ,0.2430,0.0000,,87 ,3240
243 WIN: Hornady 90 gr ELD-X ,0.2430,0.0000,,90 ,3150
243 WIN: Hornady 95 gr SST ,0.2430,0.0000,,95 ,2960
243 WIN: Hornady 95 gr SST ,0.2430,0.0000,,95 ,3185
243 WIN: Lapua 90gr FMJ,0.2430,0.0000,,90,2905
243 WIN: Lapua 90gr Naturalis,0.2430,0.0000,,90,2985
243 WIN: Nosler 100gr TGA PT,0.2430,0.0000,,100,2950
243 WIN: Nosler 100gr WCA SB,0.2430,0.0000,,100,2950
243 WIN: Nosler 55gr VMG FB Tipped,0.2430,0.0000,,55,3800
243 WIN: Nosler 70gr BTV BT,0.2430,0.0000,,70,3500
243 WIN: Nosler 70gr VMG FB Tipped,0.2430,0.0000,,70,3500
243 WIN: Nosler 90gr BTA BT,0.2430,0.0000,,90,3100
243 WIN: Nosler 90gr ETA ET,0.2430,0.0000,,90,3050
243 WIN: Nosler 90gr TGA AB,0.2430,0.0000,,90,3100
243 WIN: Remington 100gr Core-Lokt Pntd SP,0.2430,0.3560,,100,2960
243 WIN: Remington 75gr AccuTip-V,0.2430,0.3300,,75,3375
